split,specimen,qoi,parameter,method,index_type,value,ci_low,ci_high
70/30,C7,T_0.80,alpha,morris,mu_star,1119.3744929278084,,
70/30,C7,T_0.80,alpha,morris,sigma,859.1754609715041,,
70/30,C7,T_0.80,f_inf,sobol,first,0.02381277064849452,-0.06081949403613996,0.10822427683368167
70/30,C7,T_0.80,f_inf,sobol,total,5.442928147526546e-14,4.333395638470125e-14,7.133675450615192e-14
70/30,C7,T_0.80,f_inf,morris,mu_star,0.00026159833945342824,,
70/30,C7,T_0.80,f_inf,morris,sigma,0.000362350890226086,,
70/30,C8,T_0.80,k,sobol,first,-0.007024910082308544,-0.14638793931008806,0.11233759392625486
70/30,C8,T_0.80,k,sobol,total,0.14276103757612402,0.11639137379983022,0.17863124966712007
70/30,C8,T_0.80,k,morris,mu_star,235.7956528286357,,
70/30,C8,T_0.80,k,morris,sigma,215.0296575757261,,
70/30,C8,T_0.80,alpha,sobol,first,0.8701711393804653,0.840290116514671,0.8956457040421733
70/30,C8,T_0.80,alpha,sobol,total,0.9589406904967045,0.8607385418319459,1.0489511595500638
70/30,C8,T_0.80,alpha,morris,mu_star,537.6360669712427,,
70/30,C8,T_0.80,alpha,morris,sigma,378.51606635157384,,
70/30,C8,T_0.80,f_inf,sobol,first,-0.06875063320209329,-0.16825972934899722,0.012901372000324355
70/30,C8,T_0.80,f_inf,sobol,total,5.5052840219774505e-14,4.4049819470676914e-14,7.215824894080433e-14
70/30,C8,T_0.80,f_inf,morris,mu_star,0.00012232586958305092,,
70/30,C8,T_0.80,f_inf,morris,sigma,0.00013080479794879045,,
